Database,Schema,Table,Column
mso,public,alembic_version,version_num
mso,public,cache,expires_after
mso,public,cache,key
mso,public,cache,modified_time
mso,public,cache,value
mso,public,intercom_ticket_type,data
mso,public,intercom_ticket_type,id
mso,public,intercom_ticket_type,updated_at
mso,public,question_answer_pair,answer
mso,public,question_answer_pair,answer_kind
mso,public,question_answer_pair,external_id
mso,public,question_answer_pair,extra
mso,public,question_answer_pair,id
mso,public,question_answer_pair,is_appropriate_for_leads
mso,public,question_answer_pair,priority
mso,public,question_answer_pair,question
mso,public,question_answer_pair,question_embedding
mso,public,question_answer_pair,question_tsv
mso,public,question_answer_pair,topic
mso,public,typeform_submit,created_at
mso,public,typeform_submit,event_id
mso,public,typeform_submit,form_id
mso,public,typeform_submit,id
mso,public,typeform_submit,submit_data
mso,public,typeform_submit,token
mso,public,user_action,action
mso,public,user_action,created_time
mso,public,user_action,id
mso,public,user_action,input_values
mso,public,user_action,user_id
